,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,GS_fra_index,GS_fre_index,color
38,Morning_Light-on,1,male,24.684014869888475,0.001,12.0,0.1,24684.014869888473,120.0,4.0512048192771084e-05,0.008333333333333333,#F5B25E
39,Morning_Light-on,1,male,8.747591522157997,1.8497109826589597,4.0,1.0,4.729166666666666,4.0,0.21145374449339208,0.25,#F5B25E
40,Morning_Light-on,1,female,18.186968838526912,0.001,7.0,0.1,18186.96883852691,70.0,5.498442367601246e-05,0.014285714285714287,#F5B25E
41,Night_Light-on,3,female,5.386081982840801,3.145853193517636,3.0,1.0,1.712121212121212,3.0,0.584070796460177,0.3333333333333333,#398FCB
42,Night_Light-on,3,female,8.060013956734124,7.0132588974180035,6.0,3.0,1.1492537313432838,2.0,0.87012987012987,0.5,#398FCB
43,Night_Light-on,3,female,9.463512162612462,0.4998333888703766,5.0,1.0,18.93333333333333,5.0,0.05281690140845071,0.2,#398FCB
44,Morning_Light-on,1,female,47.85276073619632,0.001,21.0,0.1,47852.760736196324,210.0,2.0897435897435897e-05,0.004761904761904762,#F5B25E
45,Morning_Light-on,1,male,20.392628205128204,4.0464743589743595,13.0,3.0,5.039603960396039,4.333333333333333,0.19842829076620827,0.23076923076923078,#F5B25E
46,Night_Light-on,3,female,7.493309545049064,21.320249776984834,3.0,3.0,0.35146443514644354,1.0,2.845238095238095,1.0,#398FCB
47,Night_Light-on,3,male,11.948331539289558,0.001,10.0,0.1,11948.331539289558,100.0,8.36936936936937e-05,0.01,#398FCB
48,Morning_Light-on,1,male,17.864476386036962,3.0800821355236137,7.0,2.0,5.800000000000001,3.5,0.17241379310344826,0.2857142857142857,#F5B25E
49,Morning_Light-on,1,female,12.574257425742575,0.001,7.0,0.1,12574.257425742575,70.0,7.95275590551181e-05,0.014285714285714287,#F5B25E
50,Night_Light-on,3,female,17.918367346938776,0.001,7.0,0.1,17918.367346938776,70.0,5.5808656036446465e-05,0.014285714285714287,#398FCB
51,Night_Light-on,3,male,16.51838671411625,0.001,11.0,0.1,16518.38671411625,110.0,6.0538599640933576e-05,0.009090909090909092,#398FCB
52,Morning_Light-on,1,female,16.986886245806648,0.030497102775236352,12.0,0.1,557.0,120.0,0.0017953321364452424,0.008333333333333333,#F5B25E
53,Morning_Light-on,1,male,28.692220969560317,0.001,19.0,0.1,28692.220969560316,190.0,3.485265225933202e-05,0.005263157894736842,#F5B25E
54,Night_Light-on,3,female,33.43465045592705,0.001,10.0,0.1,33434.65045592705,100.0,2.990909090909091e-05,0.01,#398FCB
55,Night_Light-on,3,male,5.421103581800581,2.904162633107454,2.0,1.0,1.8666666666666667,2.0,0.5357142857142857,0.5,#398FCB
56,Morning_Light-on,1,female,22.565320665083135,2.375296912114014,4.0,1.0,9.5,4.0,0.10526315789473684,0.25,#F5B25E
57,Morning_Light-on,1,male,26.07022607022607,0.001,8.0,0.1,26070.22607022607,80.0,3.835793357933579e-05,0.0125,#F5B25E
58,Night_Light-on,3,female,24.94722026741731,0.001,10.0,0.1,24947.22026741731,100.0,4.008462623413258e-05,0.01,#398FCB
59,Night_Light-on,3,male,32.96323710831483,0.001,27.0,0.1,32963.237108314825,270.0,3.033682634730539e-05,0.003703703703703704,#398FCB
60,Afternoon_Light-on,0,male,20.53501180173092,0.001,12.0,0.1,20535.01180173092,120.0,4.869731800766284e-05,0.008333333333333333,#936736
61,Afternoon_Light-on,0,female,10.537297861241523,0.001,5.0,0.1,10537.297861241523,50.0,9.49009900990099e-05,0.02,#936736
62,Afternoon_Light-on,0,female,17.267648552564754,0.001,7.0,0.1,17267.648552564755,70.0,5.791176470588235e-05,0.014285714285714287,#936736
63,Night_Light-off,2,male,11.9452313503305,1.13314447592068,10.0,1.0,10.541666666666666,10.0,0.09486166007905139,0.1,#003960
64,Night_Light-off,2,male,24.816255944660615,5.577172503242543,9.0,2.0,4.449612403100775,4.5,0.22473867595818817,0.2222222222222222,#003960
65,Night_Light-off,2,female,11.020232458028412,0.001,9.0,0.1,11020.232458028411,90.0,9.07421875e-05,0.011111111111111112,#003960
66,Afternoon_Light-on,0,female,2.9264810849393292,0.001,1.0,0.1,2926.4810849393293,10.0,0.00034170731707317074,0.1,#936736
67,Afternoon_Light-on,0,male,10.520047637951569,0.9527590313616514,1.0,1.0,11.041666666666668,1.0,0.09056603773584905,1.0,#936736
68,Afternoon_Light-on,0,male,22.46313963573287,0.001,4.0,0.1,22463.139635732867,40.0,4.4517374517374525e-05,0.025,#936736
69,Night_Light-off,2,female,12.48206599713056,2.1042563366810136,7.0,1.0,5.9318181818181825,7.0,0.16858237547892718,0.14285714285714285,#003960
70,Night_Light-off,2,female,7.629427792915531,1.5137753557372087,10.0,1.0,5.04,10.0,0.19841269841269843,0.1,#003960
71,Night_Light-off,2,male,18.466841759684833,0.7715036112934998,31.0,1.0,23.936170212765955,31.0,0.04177777777777778,0.03225806451612903,#003960
72,Afternoon_Light-on,0,male,24.99000399840064,0.001,12.0,0.1,24990.003998400636,120.0,4.0016000000000004e-05,0.008333333333333333,#936736
73,Afternoon_Light-on,0,male,17.91167973586463,0.001,13.0,0.1,17911.67973586463,130.0,5.5829493087557605e-05,0.007692307692307693,#936736
74,Afternoon_Light-on,0,female,17.836879432624116,0.001,8.0,0.1,17836.879432624115,80.0,5.6063618290258444e-05,0.0125,#936736
75,Night_Light-off,2,female,8.914100486223662,7.7390599675850895,7.0,2.0,1.1518324607329842,3.5,0.8681818181818184,0.2857142857142857,#003960
76,Night_Light-off,2,female,16.778096147723655,0.8277618592804838,20.0,2.0,20.26923076923077,10.0,0.049335863377609104,0.1,#003960
77,Night_Light-off,2,male,15.019455252918288,1.0505836575875487,11.0,1.0,14.296296296296296,11.0,0.06994818652849741,0.09090909090909091,#003960
78,Afternoon_Light-on,0,female,5.405405405405405,0.001,3.0,0.1,5405.405405405405,30.0,0.000185,0.03333333333333333,#936736
79,Afternoon_Light-on,0,male,7.011605415860735,0.8220502901353964,2.0,1.0,8.529411764705882,2.0,0.11724137931034483,0.5,#936736
80,Afternoon_Light-on,0,male,12.66173752310536,0.001,3.0,0.1,12661.73752310536,30.0,7.897810218978103e-05,0.03333333333333333,#936736
81,Night_Light-off,2,female,4.071246819338422,0.001,2.0,0.1,4071.2468193384225,20.0,0.000245625,0.05,#003960
82,Night_Light-off,2,male,29.203084832904885,0.7197943444730077,9.0,1.0,40.57142857142857,9.0,0.02464788732394366,0.1111111111111111,#003960
83,Night_Light-off,2,female,15.141113653699467,3.6231884057971016,10.0,4.0,4.178947368421053,2.5,0.23929471032745592,0.4,#003960
84,Afternoon_Light-on,0,female,21.138996138996138,0.001,4.0,0.1,21138.99613899614,40.0,4.7305936073059366e-05,0.025,#936736
85,Afternoon_Light-on,0,female,27.041057102406796,2.3124115148655027,10.0,1.0,11.693877551020408,10.0,0.08551483420593368,0.1,#936736
86,Afternoon_Light-on,0,female,14.984126984126982,5.904761904761905,6.0,1.0,2.53763440860215,6.0,0.39406779661016955,0.16666666666666666,#936736
87,Night_Light-off,2,male,20.07738607050731,0.001,14.0,0.1,20077.38607050731,140.0,4.980728051391863e-05,0.0071428571428571435,#003960
88,Night_Light-off,2,male,7.205882352941176,0.001,7.0,0.1,7205.882352941176,70.0,0.00013877551020408165,0.014285714285714287,#003960
89,Night_Light-off,2,male,19.0450643776824,0.001,11.0,0.1,19045.0643776824,110.0,5.2507042253521134e-05,0.009090909090909092,#003960
90,Afternoon_Light-on,0,male,23.011077542799597,0.001,10.0,0.1,23011.077542799598,100.0,4.3457330415754925e-05,0.01,#936736
91,Afternoon_Light-on,0,female,10.252100840336134,0.001,1.0,0.1,10252.100840336134,10.0,9.754098360655739e-05,0.1,#936736
92,Afternoon_Light-on,0,male,19.767441860465116,0.001,4.0,0.1,19767.441860465115,40.0,5.058823529411765e-05,0.025,#936736
93,Night_Light-off,2,female,24.653098982423682,8.418131359851989,6.0,1.0,2.9285714285714284,6.0,0.34146341463414637,0.16666666666666666,#003960
94,Night_Light-off,2,male,13.459879206212252,1.3373597929249352,6.0,1.0,10.064516129032258,6.0,0.09935897435897435,0.16666666666666666,#003960
95,Night_Light-off,2,female,38.47010768659487,3.137764574823617,29.0,3.0,12.260355029585797,9.666666666666666,0.08156370656370658,0.10344827586206896,#003960
96,Night_Light-off,2,male,20.02170374389582,2.5501899077590884,9.0,2.0,7.8510638297872335,4.5,0.12737127371273713,0.2222222222222222,#003960
97,Night_Light-off,2,male,21.741198858230256,2.3073263558515698,22.0,2.0,9.422680412371134,11.0,0.1061269146608315,0.09090909090909091,#003960
98,Night_Light-off,2,female,20.954692556634306,2.3867313915857604,10.0,1.0,8.779661016949154,10.0,0.11389961389961388,0.1,#003960
99,Afternoon_Light-on,0,female,22.129985827090504,0.10123506782749545,27.0,0.1,218.6,270.0,0.004574565416285453,0.003703703703703704,#936736
100,Afternoon_Light-on,0,male,41.051549922932004,3.202603185476965,29.0,2.0,12.818181818181817,14.5,0.07801418439716312,0.06896551724137931,#936736
101,Afternoon_Light-on,0,female,15.355569540591569,3.587161736941473,5.0,0.1,4.280701754385965,50.0,0.23360655737704916,0.02,#936736
102,Night_Light-off,2,male,11.019417475728154,0.001,8.0,0.1,11019.417475728154,80.0,9.074889867841411e-05,0.0125,#003960
103,Night_Light-off,2,female,26.60857908847185,4.334226988382484,34.0,5.0,6.139175257731958,6.8,0.16288832913518053,0.14705882352941177,#003960
104,Night_Light-off,2,male,22.0,1.6756756756756757,9.0,1.0,13.129032258064516,9.0,0.07616707616707617,0.1111111111111111,#003960
105,Afternoon_Light-on,0,female,8.514664143803216,0.001,4.0,0.1,8514.664143803217,40.0,0.00011744444444444446,0.025,#936736
106,Afternoon_Light-on,0,female,25.968992248062015,0.001,11.0,0.1,25968.992248062015,110.0,3.850746268656716e-05,0.009090909090909092,#936736
107,Night_Light-off,2,male,16.33178773827924,4.327666151468315,9.0,1.0,3.773809523809524,9.0,0.2649842271293375,0.1111111111111111,#003960
108,Night_Light-off,2,female,15.48611111111111,2.430555555555556,5.0,1.0,6.371428571428571,5.0,0.15695067264573992,0.2,#003960
109,Night_Light-off,2,male,0.6554307116104869,0.001,1.0,0.1,655.4307116104869,10.0,0.0015257142857142856,0.1,#003960
110,Afternoon_Light-on,0,male,17.684545937334043,0.001,5.0,0.1,17684.54593733404,50.0,5.654654654654654e-05,0.02,#936736
111,Afternoon_Light-on,0,male,17.945109078114005,4.011259676284307,4.0,1.0,4.473684210526316,4.0,0.22352941176470587,0.25,#936736
112,Afternoon_Light-on,0,male,14.854932301740812,0.6189555125725338,6.0,1.0,24.0,6.0,0.041666666666666664,0.16666666666666666,#936736
113,Night_Light-off,2,female,7.402361489554949,6.902815622161672,6.0,3.0,1.0723684210526314,2.0,0.932515337423313,0.5,#003960
114,Night_Light-off,2,female,21.871768355739402,4.601861427094105,19.0,4.0,4.752808988764046,4.75,0.21040189125295505,0.21052631578947367,#003960
115,Night_Light-off,2,female,7.602339181286549,1.9005847953216373,3.0,2.0,4.0,1.5,0.25,0.6666666666666666,#003960
116,Afternoon_Light-on,0,female,11.393410083366415,0.001,8.0,0.1,11393.410083366414,80.0,8.777003484320557e-05,0.0125,#936736
117,Afternoon_Light-on,0,male,13.343923749007146,1.9459888800635423,4.0,1.0,6.857142857142857,4.0,0.14583333333333334,0.25,#936736
118,Afternoon_Light-on,0,female,33.46774193548387,0.001,6.0,0.1,33467.74193548387,60.0,2.9879518072289156e-05,0.016666666666666666,#936736
119,Afternoon_Light-on,0,male,7.336343115124154,0.001,3.0,0.1,7336.343115124154,30.0,0.0001363076923076923,0.03333333333333333,#936736
120,Stress_Light-on,4,female,9.79020979020979,0.001,1.0,0.1,9790.20979020979,10.0,0.00010214285714285715,0.1,#f55e6f
121,Stress_Light-on,4,female,37.32283464566929,9.448818897637794,6.0,1.0,3.95,6.0,0.25316455696202533,0.16666666666666666,#f55e6f
122,Stress_Light-on,4,female,10.355987055016183,18.689320388349515,8.0,5.0,0.5541125541125542,1.6,1.8046874999999998,0.625,#f55e6f
123,Stress_Light-on,4,female,7.545507927187317,47.15208455666471,12.0,16.0,0.16002490660024907,0.75,6.249027237354086,1.3333333333333333,#f55e6f
124,Stress_Light-on,4,male,22.70861833105335,1.094391244870041,3.0,0.1,20.75,30.0,0.04819277108433735,0.03333333333333333,#f55e6f
125,Stress_Light-on,4,male,4.791029561671763,48.98063200815494,3.0,1.0,0.09781477627471384,3.0,10.22340425531915,0.3333333333333333,#f55e6f
126,Stress_Light-on,4,male,4.99457111834962,0.001,5.0,0.1,4994.5711183496205,50.0,0.00020021739130434782,0.02,#f55e6f
127,Stress_Light-on,4,male,2.9778393351800556,30.12465373961219,3.0,3.0,0.09885057471264369,1.0,10.116279069767442,1.0,#f55e6f
128,Stress_Light-on,4,female,22.29580573951435,25.09197939661516,4.0,2.0,0.8885630498533724,2.0,1.1254125412541254,0.5,#f55e6f
129,Stress_Light-on,4,female,7.209372183838991,67.46770802042656,5.0,7.0,0.1068566340160285,0.7142857142857143,9.358333333333333,1.4,#f55e6f
130,Stress_Light-on,4,female,15.432873274780427,2.9485570890840656,7.0,0.1,5.234042553191489,70.0,0.1910569105691057,0.014285714285714287,#f55e6f
131,Stress_Light-on,4,female,9.316239316239317,8.974358974358974,1.0,1.0,1.0380952380952382,1.0,0.9633027522935779,1.0,#f55e6f
132,Stress_Light-on,4,male,0.0,0.001,0.0,0.1,0.0,0.0,inf,inf,#f55e6f
133,Stress_Light-on,4,male,22.181146025878004,34.011090573012936,13.0,6.0,0.6521739130434783,2.1666666666666665,1.5333333333333332,0.46153846153846156,#f55e6f
134,Stress_Light-on,4,male,2.307692307692308,32.76923076923077,3.0,7.0,0.07042253521126762,0.42857142857142855,14.199999999999998,2.3333333333333335,#f55e6f
135,Stress_Light-on,4,male,12.299640170101407,25.809617271835133,9.0,4.0,0.47655259822560203,2.25,2.098404255319149,0.4444444444444444,#f55e6f
136,Stress_Light-on,4,female,10.135970333745364,4.07911001236094,5.0,2.0,2.4848484848484844,2.5,0.402439024390244,0.4,#f55e6f
137,Stress_Light-on,4,female,8.440366972477065,0.001,1.0,0.1,8440.366972477064,10.0,0.00011847826086956521,0.1,#f55e6f
138,Stress_Light-on,4,female,4.830917874396135,24.154589371980677,4.0,1.0,0.2,4.0,5.0,0.25,#f55e6f
139,Stress_Light-on,4,female,7.839224629418472,20.410490307867732,12.0,8.0,0.38407821229050276,1.5,2.603636363636364,0.6666666666666666,#f55e6f
140,Stress_Light-on,4,male,20.26143790849673,0.3734827264239029,5.0,0.1,54.25,50.0,0.018433179723502304,0.02,#f55e6f
141,Stress_Light-on,4,male,4.827586206896552,3.67816091954023,0.0,1.0,1.3125,0.0,0.7619047619047619,inf,#f55e6f
142,Stress_Light-on,4,male,32.7027027027027,7.837837837837839,1.0,0.1,4.1724137931034475,10.0,0.23966942148760334,0.1,#f55e6f
143,Stress_Light-on,4,male,0.0,10.869565217391305,0.0,1.0,0.0,0.0,inf,inf,#f55e6f
144,Stress_Light-on,4,female,6.944444444444445,0.001,1.0,0.1,6944.444444444444,10.0,0.000144,0.1,#f55e6f
145,Stress_Light-on,4,female,11.865284974093264,16.16580310880829,6.0,1.0,0.7339743589743589,6.0,1.3624454148471616,0.16666666666666666,#f55e6f
146,Stress_Light-on,4,female,17.52477640802514,9.886391104665217,16.0,8.0,1.7726161369193154,2.0,0.5641379310344827,0.5,#f55e6f
147,Stress_Light-on,4,female,5.467928496319663,10.830704521556257,3.0,1.0,0.5048543689320388,3.0,1.9807692307692308,0.3333333333333333,#f55e6f
148,Stress_Light-on,4,male,25.72944297082228,0.001,3.0,0.1,25729.442970822278,30.0,3.88659793814433e-05,0.03333333333333333,#f55e6f
149,Stress_Light-on,4,male,0.0,0.001,0.0,0.1,0.0,0.0,inf,inf,#f55e6f
150,Stress_Light-on,4,male,18.655692729766805,7.818930041152264,4.0,1.0,2.3859649122807016,4.0,0.41911764705882354,0.25,#f55e6f
151,Stress_Light-on,4,male,13.807407407407407,29.599999999999998,30.0,21.0,0.4664664664664665,1.4285714285714286,2.143776824034335,0.7,#f55e6f
